,timestamp,open,high,low,close,volume,turnover,RSI,EMA,month,prev_close,prev_volume,next_close,volatility,momentum,relative_change,cluster
35,2021-07-18,31512.99,32416.17,31150.0,31778.75,51.190212,1624703.8292661,0.32765162294074746,0.3098867099811307,2021-07,0.2745382832351511,0.0,30819.86,0.10510930639914477,102548.57368754226,115752.43746424046,0
34,2021-07-19,31778.75,31891.94,30469.5,30819.86,45.645321,1415999.76335522,0.2816427757454497,0.3060975700514074,2021-07,0.27917661273840694,0.00041618774928231614,29782.8,0.11878201190969923,100685.39223377034,110394.56536520743,0
33,2021-07-20,30819.86,31050.0,29314.77,29782.8,115.334421,3439814.62220021,0.1971704854508521,0.30077168783478964,2021-07,0.2624410326007755,0.0003496659427971695,32137.21,0.14614929645981328,99020.288254895,113482.77845055007,0
32,2021-07-21,29782.8,32817.63,29513.9,32137.21,103.9724,3275633.37623013,0.38343369066495014,0.3002611327502956,2021-07,0.2443411455047247,0.0011857229228755925,32310.43,0.2833838174382771,107029.86911593743,131524.9856608087,0
31,2021-07-22,32137.21,32496.63,31728.28,32310.43,49.528767,1591089.67464281,0.4384059372263067,0.30011615997709534,2021-07,0.2854328423957559,0.001049413270937949,33631.55,0.06155298556172145,107658.74748732593,113197.01088341902,0
30,2021-07-23,32310.43,33631.55,32013.22,33631.55,67.196901,2197272.83064912,0.4602533203546789,0.30240237997997416,2021-07,0.28845606423709386,0.00039625546877838664,34270.0,0.13592123429699393,111213.5678292187,116590.58592816706,0
29,2021-07-24,33631.55,34467.08,33409.59,34270.0,62.298059,2105199.4953865,0.5081075885387457,0.30563910078127826,2021-07,0.31151367212895603,0.0006082192730987308,35348.21,0.08685103426794621,112124.70614295952,110010.22283266395,0
28,2021-07-25,34270.0,35386.12,33864.49,35348.21,87.532324,3014452.84640137,0.523553615819044,0.3105404714996583,2021-07,0.3226565885624059,0.000549448087240378,37252.28,0.12746055327779274,113827.02965841086,109552.65937975633,0
27,2021-07-26,35348.21,40564.19,35242.89,37252.28,284.339773,10873765.55771645,0.6587037474444163,0.3184591129691418,2021-07,0.3414746697398044,0.0008521824228882576,39500.0,0.4599093210981565,116975.64938107671,109091.36702208499,0
26,2021-07-27,37252.28,39500.0,36410.5,39500.0,152.052798,5739165.48887707,0.7371182854990702,0.3297364769626498,2021-07,0.374706548341792,0.0032132724852922522,39987.87,0.26463995296316345,119791.63066025382,105414.82519654745,0
25,2021-07-28,39500.0,40889.15,38800.01,39987.87,181.90394,7251512.06385664,0.7444323240566386,0.3408325109894141,2021-07,0.4139361765441479,0.001626231630664917,40015.2,0.17711433906069834,117323.10703403228,96602.95071976789,0
24,2021-07-29,39987.87,40612.3,39292.52,40015.2,97.664092,3896644.98251359,0.8046806718524208,0.35092178831448056,2021-07,0.422451008779072,0.0019843544308217878,42195.18,0.10979986595901506,114027.82731276905,94720.51603010287,0
23,2021-07-30,40015.2,42290.0,38328.58,42195.18,193.017448,7673764.55381353,0.8622925143672977,0.36403911026316743,2021-07,0.4229280013487738,0.0009737327852395463,41447.67,0.3409278226039299,115907.37031080725,99768.18025156515,0
22,2021-07-31,42195.18,42359.76,41040.89,41447.67,97.528106,4063997.09578545,0.8160696815710718,0.37453936939130045,2021-07,0.46097535817639107,0.0021176826835407553,39851.08,0.10972024631343592,110662.05277162332,89911.9839910882,0
21,2021-08-01,41447.67,42566.0,39462.33,39851.08,140.451913,5778125.20601077,0.728813589888269,0.38111816289141126,2021-08,0.4479290092639184,0.0009721013673493319,39144.91,0.26587974458717656,104562.58127270473,88966.40147615639,0
20,2021-08-02,39851.08,40452.47,38691.0,39144.91,143.550949,5674236.08870132,0.7410126570231288,0.385778254512756,2021-08,0.420063602499909,0.0014870563381250926,38210.87,0.14844514206419654,101468.97541227574,93187.05477798684,0
19,2021-08-03,39144.91,39771.94,37661.2,38210.87,120.750935,4637803.2755102,0.7460934345649294,0.3882854211606522,2021-08,0.4077387637532423,0.0015242353328217427,39738.46,0.17900421196674593,98408.23175992833,93713.09686012752,0
18,2021-08-04,38210.87,39955.86,37551.94,39738.46,126.630748,4928081.86087145,0.7322223956235195,0.39334899475720003,2021-08,0.3914368925565948,0.0012507045962993058,40864.26,0.20465573690169345,101024.96048206274,101518.45500194396,0
17,2021-08-05,39738.46,41353.0,37348.85,40864.26,215.362454,8463112.18035584,0.7480815934416992,0.3999903124892297,2021-08,0.41809803706998466,0.0013212444468671256,42831.88,0.3446664461814946,102162.12426591665,97737.46413242022,0
16,2021-08-06,40864.26,43367.66,39900.01,42831.88,158.525493,6571388.5241617,0.7578424861064078,0.40959947554554227,2021-08,0.4377467101387887,0.0023857547096710146,44578.65,0.29772585293639037,104569.15342354274,97845.26362222127,0
15,2021-08-07,42831.88,44705.58,42500.0,44578.65,237.590431,10342098.62137394,0.7729693638523969,0.42148972058203965,2021-08,0.472087731726673,0.0017038842597657193,43807.74,0.1873021539301486,105763.50106171242,94427.74068544939,0
14,2021-08-08,44578.65,45281.85,43296.16,43807.74,191.475897,8483736.98381498,0.7228471255091131,0.4308369499374985,2021-08,0.5025742414587702,0.002652422744182475,46285.33,0.1680630727583568,101679.55457257135,87165.7037149453,0
13,2021-08-09,43807.74,46466.92,42820.94,46285.33,240.183492,10812087.82376971,0.731644770313843,0.44382746203549756,2021-08,0.48911949056565257,0.002099188765931016,45585.67,0.3133286786463609,104285.76447312329,94628.9031070554,0
12,2021-08-10,46285.33,46750.0,44650.0,45585.67,176.307778,8023459.75021313,0.6622834455314291,0.4543005443885774,2021-08,0.5323610573701811,0.0026835315796936115,45543.0,0.1780645251606832,100341.53879521912,85628.23483770466,0
11,2021-08-11,45585.67,46595.92,45349.31,45543.0,136.428802,6275952.02923862,0.6502311076324511,0.4636981127459206,2021-08,0.5201498381488989,0.0019172175284690582,44412.0,0.10339792148978014,98215.91904309063,87556.46259977263,0
10,2021-08-12,45543.0,46207.82,43790.8,44412.0,170.489342,7632164.89591317,0.6036874657410246,0.47013117039127855,2021-08,0.5194051153918853,0.001438791257457093,47807.6,0.20580190982156443,94466.25253940723,85504.51137042933,0
9,2021-08-13,44412.0,47865.28,44243.99,47807.6,158.11131,7331247.26143713,0.6296891168653752,0.48216482596614557,2021-08,0.49966568632738245,0.001847414014993642,47037.53,0.3111684489218103,99150.98584675841,95678.17371191327,0
8,2021-08-14,47807.6,48107.0,46029.73,47037.53,192.779991,9064660.63032565,0.6288563942323739,0.49164334474576127,2021-08,0.5589293515187406,0.0016989153250516846,46979.44,0.17607578390353246,95673.09078693837,84155.48573865039,0
7,2021-08-15,47037.53,47336.25,45507.0,46979.44,139.139401,6442524.47533528,0.6906054817879366,0.5001128543484925,2021-08,0.5454892612095437,0.0021148339226539237,45913.29,0.1543754932480793,93936.67744922513,86122.49195624837,0
6,2021-08-16,46979.44,48016.54,45657.69,45913.29,207.229123,9726139.79178982,0.6751960955886662,0.5058249023403334,2021-08,0.5444754120191309,0.0014713101910370015,44676.76,0.20071237709264061,90768.13727965934,84324.7362710564,0
5,2021-08-17,45913.29,47138.09,44412.0,44676.76,211.227177,9670474.89028014,0.6627237684677567,0.5087303427282734,2021-08,0.5258678149394493,0.0022881795056026847,44635.35,0.23284371626008143,87819.1204992073,84957.1562719222,0
4,2021-08-18,44676.76,45930.0,44218.24,44635.35,227.924747,10286706.07391948,0.629050497668232,0.5112833024751282,2021-08,0.5042865627545423,0.0023361439785752223,46753.83,0.14409580955680773,87299.6213657277,88510.87657309425,0
3,2021-08-19,44635.35,47001.35,43950.0,46753.83,230.822202,10455959.04117811,0.6504788895650019,0.5174695186550151,2021-08,0.5035638308734096,0.002536463970494304,49301.43,0.2613020524369737,90349.88698851399,92844.8859305036,0
2,2021-08-20,46753.83,49338.0,46629.54,49301.43,260.425931,12462812.49267966,0.6619109230596657,0.5277281707741754,2021-08,0.5405378235211269,0.002571224607053151,48772.59,0.23130119499463675,93421.0167319758,91207.10395624989,0
1,2021-08-21,49301.43,49731.15,48171.57,48772.59,132.869856,6500925.85457926,0.603328983999668,0.5360421367859383,2021-08,0.5850012801831317,0.002926379204641583,49223.35,0.13078095498077794,90985.48530213721,83370.76627157463,0
99,2021-08-22,48772.59,49506.7,48074.56,49223.35,132.608239,6471911.77505594,0.6455491846944394,0.5443890973189891,2021-08,0.5757713954205572,0.0013960947432960238,49223.35,0.11963070483510006,90418.42655063348,85490.13483493928,0
0,2021-08-22,48772.59,49506.7,48074.56,49223.35,132.608239,6471911.77505594,0.581924744165177,0.5519411092298445,2021-08,0.583638544001561,0.0013929561359821514,49519.22,0.11963070483510006,89181.25002063028,84337.75813361008,0
98,2021-08-23,49223.35,50424.0,49022.0,49519.22,229.063926,11427242.01553351,0.6243372805224409,0.5593152649421955,2021-08,0.583638544001561,0.0013929561359821514,47671.53,0.11699363217823629,88534.43449259827,84844.69860736882,0
97,2021-08-24,49519.22,49790.14,47525.41,47671.53,215.420646,10504541.36930596,0.5436919427205726,0.5626062162921635,2021-08,0.5888023856260656,0.002550130649422698,48996.42,0.19247743089277233,84732.38654908142,80962.54764138992,0
96,2021-08-25,47671.53,49245.14,47120.0,48996.42,205.688869,9907061.04466961,0.6269499971135323,0.5680080278966761,2021-08,0.5565545114543666,0.002386452836462503,46822.44,0.18026412723744348,86259.08364957955,88034.25798751404,0
95,2021-08-26,48996.42,49344.29,46323.43,46822.44,176.035044,8317426.60545521,0.43320998226542085,0.568917431876883,2021-08,0.5796779174431104,0.0022697011480432715,49037.99,0.2586343568395028,82299.94100919137,80772.19937686804,0
94,2021-08-27,46822.44,49089.0,46338.71,49037.99,179.847809,8625626.58502545,0.5374243625066858,0.5737942401312368,2021-08,0.5417352790720689,0.0019139455510091006,48884.84,0.23496107386778267,85461.67384765687,90519.20773687937,0
93,2021-08-28,49037.99,49257.4,48352.9,48884.84,147.818635,7224965.03654858,0.533829695059988,0.5779263565322015,2021-08,0.5804034418164186,0.0019596871202308113,48756.58,0.07346530945793923,84585.62500414303,84224.62045292325,0
92,2021-08-29,48884.84,49614.36,47800.0,48756.58,125.332522,6092212.65307796,0.5712801984092842,0.5814302478442746,2021-08,0.5777305032123259,0.001575434568700567,46986.26,0.15307270586053118,83855.28401819672,84392.29363587563,0
91,2021-08-30,48756.58,48873.18,46864.01,46986.26,177.492634,8500998.74091836,0.5494134053385955,0.5813611030569987,2021-08,0.5754919716722613,0.001305669688274759,47103.33,0.17011743460252307,80820.12778603508,81644.37875909476,0
90,2021-08-31,46986.26,48200.0,46700.0,47103.33,274.37544,12979845.30892639,0.554464118811358,0.5815127582151449,2021-08,0.544594441998105,0.0019314321923000989,48783.19,0.12556805554826464,81000.36984883308,86491.49123288684,0
89,2021-09-01,47103.33,49059.99,46500.0,48783.19,179.998962,8590117.82829317,0.541425870537329,0.5847237784496286,2021-09,0.5466376736166563,0.003093730833061477,49231.18,0.21831094358904368,83428.46156447862,89241.27574225057,0
88,2021-09-02,48783.19,50326.95,48558.75,49231.18,292.562294,14530831.04387024,0.46695232992278446,0.5884487194943473,2021-09,0.5759563980271742,0.001961500495933895,49973.87,0.14903397746501545,83661.65125413859,85476.26905826858,0
87,2021-09-03,49231.18,50987.0,48358.37,49973.87,313.834521,15695363.8110566,0.518197669627139,0.5931778786749167,2021-09,0.5837752015873923,0.0033119176977557713,49919.82,0.22431653971270432,84246.69668018508,85603.64689851821,0
86,2021-09-04,49973.87,50550.0,49400.0,49919.82,186.580609,9335957.17190948,0.4987300549662964,0.5973577410338506,2021-09,0.5967374266730825,0.003567119642753808,51726.73,0.0949451149410205,83566.7125630003,83653.58201325143,0
85,2021-09-05,49919.82,51836.71,49485.03,51726.73,231.26447,11723610.61404824,0.5609960467146067,0.604445805823226,2021-09,0.5957940879100971,0.002040460217249886,52586.77,0.20008504428077237,85576.11791804178,86818.81081995119,0
84,2021-09-06,51726.73,52662.73,50963.72,52586.77,257.346181,13308232.98782187,0.5774288582627759,0.6124325183206469,2021-09,0.627330225638604,0.002576530476241665,46729.2,0.14298025957754384,85864.41117084758,83825.29730054564,0
83,2021-09-07,52586.77,52818.37,43000.0,46729.2,645.126118,31138071.46454897,0.4436286573571001,0.6089404078658305,2021-09,0.642340569204152,0.002889431583214466,46014.25,0.853376485431355,76737.54353626007,72747.3242384902,0
82,2021-09-08,46729.2,47299.87,44436.94,46014.25,407.756328,18811726.02696816,0.3842165353856458,0.6044726635951221,2021-09,0.5401079542568838,0.007541609944869605,46358.44,0.244816411096354,76121.96266026102,85193.5423823825,0
81,2021-09-09,46014.25,47338.87,45508.88,46358.44,288.664531,13394202.18936894,0.4550639649322332,0.6010602177630324,2021-09,0.5276298775020949,0.004693895312462966,44830.7,0.15444023889393507,77126.77959674713,87860.66586977619,0
